problem_id	ground_answer	run_id	llm_id	judge_score	solver_score	solution_id	is_correct_answer	answer	parent_solution_id	is_correct_answer_refined	refined_answer	is_judge_selected_context
problem_001	2	648073e146864e848958ab316d0c216a	gpt-5-mini	0.35	1.0	5820b48d4a5145e98e417f7cbecfcd4e	True	2	5820b48d4a5145e98e417f7cbecfcd4e	True	2	True
problem_001	2	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	1f99f208e39d4e0da153cd84e774649e	True	2	1f99f208e39d4e0da153cd84e774649e	True	2	False
problem_001	2	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95	35baf9c10bfa4fa8a403ac1ebf489edb	True	2	35baf9c10bfa4fa8a403ac1ebf489edb	True	2	False
problem_002	3	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0	dfb8ad714ee04214aa4ef2dc9b8576e1	True	3	dfb8ad714ee04214aa4ef2dc9b8576e1	True	3	True
problem_002	3	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	1b82d5613e2b421696453ec6270b4937	True	3	1b82d5613e2b421696453ec6270b4937	True	3	False
problem_002	3	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95	7bf005610d2a44f3910fb555db3459ed	True	3	7bf005610d2a44f3910fb555db3459ed	True	3	False
problem_003	18	648073e146864e848958ab316d0c216a	gemini-3-flash	0.8	0.9	574e393609734527a76105fd70bd63d4	True	18	574e393609734527a76105fd70bd63d4	True	18	False
problem_003	18	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	641c4b5d30f04cdeb2c6756fcc39b80a	False	23	641c4b5d30f04cdeb2c6756fcc39b80a	True	18	False
problem_003	18	648073e146864e848958ab316d0c216a	gpt-5-mini	0.85	0.95	ca4cd5021ccf4c4b911b11e63e5b455b	False	0 or 18	ca4cd5021ccf4c4b911b11e63e5b455b	False	0 or 18	True
problem_004	17	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	5df5db8656004e05a4da9a81bd20c2a9	True	17	5df5db8656004e05a4da9a81bd20c2a9	True	17	False
problem_004	17	648073e146864e848958ab316d0c216a	gpt-5-mini	0.25	0.95	56f3a3dd94fd4a3b9c178835915ac9fc	True	17th day	56f3a3dd94fd4a3b9c178835915ac9fc	True	17th day	False
problem_004	17	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0	76139d5dd3054f3cb6aa938beef21924	True	17	76139d5dd3054f3cb6aa938beef21924	True	17	True
problem_005	no	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	2a6123bd9e2941e6929b12f3adfa605c	True	No	2a6123bd9e2941e6929b12f3adfa605c	True	No	False
problem_005	no	648073e146864e848958ab316d0c216a	gpt-5-mini	0.8	1.0	fe9aefe1577244a995ae87eeac2242ec	True	No	fe9aefe1577244a995ae87eeac2242ec	True	No	True
problem_005	no	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95	01a16170b0f64c1da7ec99637415f7f8	True	No	01a16170b0f64c1da7ec99637415f7f8	True	No	False
problem_006	Player 1	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0	4a9737d7faca48e796375659db68345c	True	Player 1	4a9737d7faca48e796375659db68345c	True	Player 1	False
problem_006	Player 1	648073e146864e848958ab316d0c216a	gpt-5-mini	0.2	1.0	4aaefc98530b4c42ab7ebceec2dee7bc	True	Player 1	4aaefc98530b4c42ab7ebceec2dee7bc	True	Player 1	False
problem_006	Player 1	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95	f5b608dfd5f24f39888244fd770844a0	True	Player 1	f5b608dfd5f24f39888244fd770844a0	True	Player 1	True
problem_007	1	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95	bb620210cdf64054ae556fc4577b2285	True	1	bb620210cdf64054ae556fc4577b2285	True	1	True
problem_007	1	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0	bbcd66c3834b4a88949751d2f4acab15	True	1	bbcd66c3834b4a88949751d2f4acab15	True	1	False
problem_007	1	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95	985c783d932f4034958ba6b9c837872a	True	1	985c783d932f4034958ba6b9c837872a	True	1	False
