solver_score	problem_id	reasoning	run_id	prompt_user	prompt_system	assessment_id	judge_score	llm_id	_document_id
0.95	problem_022	The problem is a challenging combinatorial optimization task involving rankings and performance metrics, typical of advanced mathematics competitions. As a Solver, the agent is well-suited to derive the necessary theoretical bounds, construct the ranking matrix, and calculate the maximum sum. As a Judge, the agent can effectively evaluate the logical consistency of mathematical proofs, verify that proposed constructions meet the eligibility criteria (top b places in a races), and compare different solutions for optimality, although verifying specific 10x10 constructions can be intricate.	9596f230c36d49adb2ea1242f3f13ecf	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical/Logical Reasoning"",
  ""subcategory"": ""Rankings and Performance Metrics"",
  ""statement"": ""Let n be a positive integer. A class of n students run n races, in each of which they are ranked with no draws. A student is eligible for a rating (a, b) for positive integers a and b if they come in the top b places in at least a of the races. Their final score is the maximum possible value of a âˆ’ b across all ratings for which they are eligible. Find the maximum possible sum of all the scores of the n students when n = 10.""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	05ec617dae924134bb6eb1cabeb93acc	0.85	gemini-3-pro	05ec617dae924134bb6eb1cabeb93acc
0.95	problem_013	The problem is a classic geometric probability question requiring the calculation of the volume of a sphere's octant within a unit cube. It is highly suitable for a Solver role as it requires standard mathematical derivation using geometry or calculus. It is also highly suitable for a Judge role because the solution is objectively verifiable (the answer is pi/6), and the reasoning steps can be clearly critiqued for logical consistency.	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical / Geometric Probability"",
  ""subcategory"": ""High-Dimensional Geometry"",
  ""statement"": ""Alex, Bob, and Charlie each randomly pick a real number between 0 and 1. What is the probability that the sum of the squares of their numbers does not exceed 1?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	06b0bd24fc4c42239b7a351ee95faaa0	0.9	gemini-3-pro	06b0bd24fc4c42239b7a351ee95faaa0
1.0	problem_022	This is a well-defined mathematical optimization problem categorized under rankings and performance metrics. It requires deriving a specific numerical value through combinatorial reasoning and logical deduction, making it highly suitable for a solver. A judge is also appropriate for evaluating the correctness of the mathematical derivation and the validity of the proposed maximum sum.	9596f230c36d49adb2ea1242f3f13ecf	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical/Logical Reasoning"",
  ""subcategory"": ""Rankings and Performance Metrics"",
  ""statement"": ""Let n be a positive integer. A class of n students run n races, in each of which they are ranked with no draws. A student is eligible for a rating (a, b) for positive integers a and b if they come in the top b places in at least a of the races. Their final score is the maximum possible value of a âˆ’ b across all ratings for which they are eligible. Find the maximum possible sum of all the scores of the n students when n = 10.""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	08fa9bc5fe2f4cc4b093123932cf01ac	0.8	gemini-3-flash	08fa9bc5fe2f4cc4b093123932cf01ac
0.9	problem_003	This is a classic logic puzzle with well-defined constraints and a single correct answer. The solver role is highly suitable because the problem requires systematic logical deduction to find a value for the number of liars that is consistent with all 24 statements. The judge role is also suitable because verifying a proposed solution only requires checking it against 24 discrete conditions, making it easy to critique and compare different solution attempts.	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Logic Puzzles & Constraint Satisfaction"",
  ""subcategory"": ""Liars and Truth Tellers"",
  ""statement"": ""There are 24 people on an island, each of whom is either a liar or a truth-teller. To determine the number of liars, each person is asked: \""How many liars are on the island?\"" The nth person replies that the number of liars is a multiple of n, for n = 1, 2, â€¦, 24. How many liars are on the island?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	0bc6e95478904491b3c9ca9749d7c046	0.8	gemini-3-flash	0bc6e95478904491b3c9ca9749d7c046
0.98	problem_008	The problem is a constructive combinatorial/encoding puzzle (weighing/constraint satisfaction) that asks for a specific minimal-weighings strategy. Solver: highly suitable (0.98) because the task is to derive a concrete encoding/measurement scheme (e.g., take 2^k coins from bag k to encode any subset of fake bags) and prove minimality; this is a standard derivation-oriented problem well within solver capabilities. Judge: moderately suitable (0.6) because while the problem can admit multiple solution presentations and proofs to compare (correctness, practicality, coin-count limits), the primary demand is constructive derivation rather than comparative critique; evaluation capability is useful but secondary.	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Logic Puzzles & Constraint Satisfaction"",
  ""subcategory"": ""Weighing Puzzles"",
  ""statement"": ""You have 10 bags of coins. Some bags contain only real coins weighing 10 grams each, and some contain only fake coins weighing 9 grams each. You have a scale that tells the exact weight in grams. What is the minimum number of weighings needed to determine which bags contain fake coins?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	1079bdf9ff694bafb9354b0d08d2e1fe	0.6	gpt-5-mini	1079bdf9ff694bafb9354b0d08d2e1fe
0.9	problem_022	The problem is a sophisticated combinatorial optimization task typical of mathematics competitions. It requires deriving a maximum value based on complex constraints involving rankings and variable definitions. A Solver is highly suitable as the primary task is derivation and proof construction. A Judge is also well-suited to evaluate the logical consistency of the mathematical arguments and to check if the proposed maximums obey the derived bounds, although verifying optimality can be challenging without a reference solution.	9596f230c36d49adb2ea1242f3f13ecf	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical/Logical Reasoning"",
  ""subcategory"": ""Rankings and Performance Metrics"",
  ""statement"": ""Let n be a positive integer. A class of n students run n races, in each of which they are ranked with no draws. A student is eligible for a rating (a, b) for positive integers a and b if they come in the top b places in at least a of the races. Their final score is the maximum possible value of a âˆ’ b across all ratings for which they are eligible. Find the maximum possible sum of all the scores of the n students when n = 10.""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	116be631df3643de9693f1029d95090a	0.8	gemini-3-pro	116be631df3643de9693f1029d95090a
0.95	problem_018	This is a classic probability problem with a well-defined mathematical solution. It requires logical deduction and understanding of random processes to solve from scratch, making it highly suitable for a solver. Additionally, because the problem has a single correct numerical answer and a standard logical derivation, it is also very suitable for a judge to evaluate and compare different solution attempts for accuracy and clarity.	44b6ef7363d0491e903fe248294a74b7	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical/Logical Reasoning"",
  ""subcategory"": ""Probability and Random Processes"",
  ""statement"": ""An airplane has 100 seats numbered from 1 to 100 and 100 passengers boarding in a random order. Each passenger has an assigned seat number. The first passenger ignores their boarding pass and chooses a seat at random. Each subsequent passenger takes their assigned seat if it is available; otherwise, they randomly choose from the remaining seats. What is the probability that the last passenger sits in their assigned seat? Give the answer as a decimal.""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	143c57e1601945339360b0f8cc28347a	0.9	gpt-4.1	143c57e1601945339360b0f8cc28347a
1.0	problem_015	This is a standard constraint satisfaction logic puzzle with a finite state space. It is highly suitable for a solver because it can be resolved through systematic case analysis or logical deduction. It is also suitable for a judge because the correctness of a solution can be objectively verified against the provided statements.	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Logic Puzzles & Constraint Satisfaction"",
  ""subcategory"": ""Truthfulness"",
  ""statement"": ""In a magical swamp, there are two species of talking amphibians: toads whose statements are always true, and frogs whose statements are always false.\n\nFour amphibians, Brian, Chris, LeRoy, and Mike live together in this swamp, and they make the following statements:\n\nBrian: \""Mike and I are different species.\""\nChris: \""LeRoy is a frog.\""\nLeRoy: \""Chris is a frog.\""\nMike: \""Of the four of us, at least two are toads.\""\n\nHow many of these amphibians are frogs?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	16d92bd99e294ed48132f7a5136cd81e	0.9	gemini-3-flash	16d92bd99e294ed48132f7a5136cd81e
0.95	problem_013	"The problem is a well-defined mathematical question in geometric probability/high-dimensional (3D) geometry: three independent continuous uniform variables on [0,1] and a probability involving the region {x^2+y^2+z^2 ≤ 1} intersected with the unit cube. This is low-ambiguity, requires standard analytic methods (geometric reasoning, volume computation, or a triple integral), and has a single clear quantitative answer. 

Solver suitability (0.95): High. A solver is appropriate because the task primarily demands deriving a numerical probability via standard calculus or geometric-volume arguments. It is straightforward to produce a full derivation from first principles and present the result with justification. 

Judge suitability (0.70): Moderate-High. A judge can meaningfully evaluate proposed solutions (check integrals, geometric arguments, numerical approximations, and edge-case reasoning). However, because the problem is short and typically admits a single correct analytic answer, the need for extensive comparative judging of multiple distinct solution strategies is less than the need for synthesis/derivation, so judge suitability is slightly lower than solver suitability."	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Mathematical / Geometric Probability"",
  ""subcategory"": ""High-Dimensional Geometry"",
  ""statement"": ""Alex, Bob, and Charlie each randomly pick a real number between 0 and 1. What is the probability that the sum of the squares of their numbers does not exceed 1?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	187e241859bb4b459a5a7cde7c23eb88	0.7	gpt-5-mini	187e241859bb4b459a5a7cde7c23eb88
0.95	problem_009	The problem is a concise logic/constraint-satisfaction puzzle about truth-values of simple statements by two individuals. Solving requires straightforward propositional reasoning (evaluating truth/falsehood given one person's island membership and the other’s non-membership) with a small, discrete search space and no specialized domain knowledge, so the Solver role is highly appropriate. The Judge role is also reasonable—there can be multiple candidate answers or mistaken inferences to compare and critique—but the problem’s low complexity means deep adjudication is unlikely to be needed, so Judge suitability is somewhat lower.	648073e146864e848958ab316d0c216a	"<user_input>
  The following JSON object is the authoritative input for this task.
  It conforms to the predefined Problem schema.

  You must rely ONLY on this JSON to determine the role scores for given problem

  <problem>  
  {
  ""category"": ""Logic Puzzles & Constraint Satisfaction"",
  ""subcategory"": ""Truth Statements"",
  ""statement"": ""Nika claims that people who live on \""liars island\"" never tell the truth. Levan claims that Nika's statement is false. It is known that Nika lives on liars island and Levan has never been there. Who is telling the truth?""
}
  </problem>
</user_input>"	"<system>
  <role>
    You are an AI agent participating in a multi-agent problem solving system.
    Your task is to assess role suitability for the given problem.
  </role>

  <task_definition>
    Determine suitability for each role based solely on the
    characteristics of the provided problem.

    <available_roles>
        - Solver: derives a solution from scratch
        - Judge: evaluates, compares, and critiques multiple solutions
    </available_roles>
  </task_definition>

  <schema_overview>
    The ROOT and AUTHORITATIVE input schema for this task is:
    <root_schema>Problem</root_schema>

    This task uses a single input schema with no external references.
  </schema_overview>

  <schema_definitions>
    <Problem>
      {
  ""category"": {
    ""_description"": ""High-level category of the problem (e.g., logic, math, physics)"",
    ""_type"": ""string""
  },
  ""subcategory"": {
    ""_description"": ""Optional subcategory of the problem"",
    ""_type"": ""string | unknown""
  },
  ""statement"": {
    ""_description"": ""Full problem statement presented to the solver"",
    ""_type"": ""string""
  }
}
    </Problem>
  </schema_definitions>

  <input_contract>
    The user prompt will provide the full problem as a single JSON object.

    This JSON object follows a Pydantic-defined schema and is the
    authoritative input for this task.

    Interpretation rules:
    - Problem is the ONLY root-level input object
    - All required information is contained within this object

    You must:
    - Rely ONLY on the contents of the provided JSON input
    - Use the problem category and structure as primary signals
    - Do NOT attempt to solve the problem
    - Do NOT use external knowledge or assumptions
  </input_contract>

  <output_contract>
    The output schema is enforced externally via a Pydantic JSON schema.

    You must:
    - Output a single valid JSON object
    - Conform exactly to the enforced output schema
    - Do NOT include markdown, comments, or extra text
    - Do NOT choose or assign a final role
  </output_contract>

  <global_rules>
    - Assess roles based on problem characteristics only
  </global_rules>
</system>"	1b942e263b814c90b56b4a75ff3d6313	0.7	gpt-5-mini	1b942e263b814c90b56b4a75ff3d6313
